date,time,ticker,price,signal,composite_score,technical_score,fundamental_score,trend,confidence,volume_momentum,unusual_volume,volatility_regime,news_sentiment,fundamental_grade,value_score,quality_score,growth_score,pe_ratio,pb_ratio,roe,roic,div_yield,debt_equity,is_value,is_quality,is_momentum,is_avoid,position_size,position_pct,strengths,weaknesses,action_notes
2026-02-21,10:48:02,PETR4,37.97,BUY,70.8,85.1,70.8,uptrend,85.1,0.91,False,medium,-0.78,C,100,75,0,6.3,1.16,18.3,,8.5,,True,True,True,False,0.15,15.0,Low P/E (6.3); Excellent ROIC (17.8%); High dividend yield (8.5%),,"VALUE PLAY: Undervalued with acceptable quality; QUALITY PLAY: High ROE/ROIC compounder; MOMENTUM PLAY: Strong technicals, acceptable fundamentals; 💡 CONTRARIAN: Deep value, wait for reversal signals"
2026-02-21,10:48:02,VALE3,86.81,BUY,64.0,76.5,64.0,uptrend,76.5,0.97,False,medium,0.11,C,48,65,0,28.5,2.14,7.5,,8.8,,False,False,True,False,0.0864,9.0,Excellent ROIC (17.6%); High dividend yield (8.8%),High P/E (28.5); Low ROE (7.5%),"MOMENTUM PLAY: Strong technicals, acceptable fundamentals"
2026-02-21,10:48:02,ITUB4,49.23,STRONG_BUY,79.8,96.8,79.8,uptrend,96.8,0.86,False,medium,0.22,C,43,60,0,11.9,2.77,23.3,,6.3,,False,False,True,False,0.1206,12.0,High ROE (23.3%); High dividend yield (6.3%); Attractive PEG (0.12),,"MOMENTUM PLAY: Strong technicals, acceptable fundamentals"
2026-02-21,10:48:02,BBDC4,21.76,BUY,61.7,70.0,61.7,uptrend,70.0,0.92,False,medium,0.75,C,76,50,0,9.4,1.34,14.3,,6.6,,True,False,True,False,0.15,15.0,Low P/E (9.4); High dividend yield (6.6%),,"VALUE PLAY: Undervalued with acceptable quality; MOMENTUM PLAY: Strong technicals, acceptable fundamentals"
2026-02-21,10:48:02,ABEV3,16.03,BUY,72.1,100.0,72.1,uptrend,100.0,1.06,False,medium,-0.35,D,43,85,0,16.3,2.87,17.6,,6.9,,False,True,False,False,0.0312,3.0,Excellent ROIC (19.8%); Low debt (D/E: 0.04); High dividend yield (6.9%),,QUALITY PLAY: High ROE/ROIC compounder
2026-02-21,10:48:02,WEGE3,51.99,HOLD,52.8,61.2,52.8,uptrend,61.2,1.03,False,medium,-0.48,D,43,100,0,33.7,9.74,28.9,,4.7,,False,True,False,False,0.0084,1.0,High ROE (28.9%); Excellent ROIC (28.5%); Low debt (D/E: 0.17),High P/E (33.7),QUALITY PLAY: High ROE/ROIC compounder
2026-02-21,10:48:02,RENT3,52.83,BUY,68.8,79.5,68.8,uptrend,79.5,0.73,False,high,-0.37,C,34,45,0,33.5,2.36,7.1,,3.6,,False,False,True,False,0.0138,1.0,Attractive PEG (0.81),High P/E (33.5); Low ROE (7.1%); High debt (D/E: 1.75),"MOMENTUM PLAY: Strong technicals, acceptable fundamentals"
2026-02-21,10:48:02,SUZB3,56.86,HOLD,57.8,57.3,57.8,uptrend,57.3,0.95,False,high,-0.37,C,72,75,0,5.4,1.64,30.6,,,,True,True,False,False,0.0138,1.0,Low P/E (5.4); High ROE (30.6%),High debt (D/E: 2.16),VALUE PLAY: Undervalued with acceptable quality; QUALITY PLAY: High ROE/ROIC compounder
2026-02-21,10:48:02,RADL3,26.49,HOLD,53.0,68.0,53.0,uptrend,68.0,0.84,False,high,0.04,D,29,70,0,34.6,6.64,19.2,,1.7,,False,False,False,False,0.1,10.0,,High P/E (34.6),
2026-02-21,10:48:02,RDOR3,45.09,HOLD,41.6,19.9,41.6,uptrend,19.9,1.01,False,high,-0.37,C,43,65,0,23.2,3.92,16.9,,9.5,,False,False,False,False,0.0,0.0,High dividend yield (9.5%); Attractive PEG (0.70),High debt (D/E: 1.63),
2026-02-21,10:48:02,CURY3,41.67,STRONG_BUY,83.9,81.3,83.9,uptrend,81.3,0.7,False,high,-0.37,A,71,90,0,14.7,9.27,62.9,,9.4,,True,True,True,False,0.15,15.0,High ROE (62.9%); Excellent ROIC (35.7%); High dividend yield (9.4%); Attractive PEG (0.45),,"VALUE PLAY: Undervalued with acceptable quality; QUALITY PLAY: High ROE/ROIC compounder; MOMENTUM PLAY: Strong technicals, acceptable fundamentals"
2026-02-21,10:48:02,GGBR4,21.64,BUY,63.7,42.0,63.7,neutral,42.0,0.92,False,medium,0.24,A,100,60,0,14.4,0.79,5.5,,2.9,,True,False,False,False,0.15,15.0,Trading below book value (P/B: 0.79),Low ROE (5.5%),"VALUE PLAY: Undervalued with acceptable quality; 💡 CONTRARIAN: Deep value, wait for reversal signals"
2026-02-21,10:48:02,TGMA3,40.48,STRONG_BUY,82.4,79.6,82.4,uptrend,79.6,0.55,False,medium,0.0,A,81,100,0,9.7,2.71,28.0,,10.9,,True,True,True,False,0.15,15.0,Low P/E (9.7); High ROE (28.0%); Excellent ROIC (32.0%); Low debt (D/E: 0.17); High dividend yield (10.9%); Attractive PEG (0.44),,"VALUE PLAY: Undervalued with acceptable quality; QUALITY PLAY: High ROE/ROIC compounder; MOMENTUM PLAY: Strong technicals, acceptable fundamentals; 💡 CONTRARIAN: Deep value, wait for reversal signals"
2026-02-21,10:48:02,JHSF3,10.09,STRONG_BUY,82.6,80.7,82.6,uptrend,80.7,0.7,False,medium,0.24,A,100,85,0,5.3,1.1,20.6,,4.7,,True,True,True,False,0.15,15.0,Low P/E (5.3); High ROE (20.6%),,"VALUE PLAY: Undervalued with acceptable quality; QUALITY PLAY: High ROE/ROIC compounder; MOMENTUM PLAY: Strong technicals, acceptable fundamentals; 💡 CONTRARIAN: Deep value, wait for reversal signals"
2026-02-21,10:48:02,CYRE3,31.95,BUY,61.7,38.4,61.7,uptrend,38.4,0.85,False,high,-0.37,A,100,80,0,8.0,1.4,17.5,,10.0,,True,False,False,False,0.15,15.0,Low P/E (8.0); High dividend yield (10.0%); Attractive PEG (0.46),,"VALUE PLAY: Undervalued with acceptable quality; 💡 CONTRARIAN: Deep value, wait for reversal signals"
2026-02-21,10:48:02,MGLU3,10.8,HOLD,51.0,53.5,51.0,uptrend,53.5,0.87,False,high,-0.07,D,91,40,0,22.8,0.75,3.3,,2.7,,False,False,False,False,0.1,10.0,Trading below book value (P/B: 0.75),Low ROE (3.3%),"💡 CONTRARIAN: Deep value, wait for reversal signals"
